theta_start,miss_rate,false_alarm_rate
6.344060256785917,1.0,1.0
6.364010131807256,1.0,1.0
6.383960006828595,1.0,1.0
6.403909881849934,1.0,1.0
6.423859756871273,1.0,1.0
6.443809631892613,1.0,1.0
6.463759506913952,1.0,1.0
6.483709381935292,1.0,1.0
6.503659256956631,1.0,1.0
6.52360913197797,1.0,1.0
6.54355900699931,1.0,1.0
6.563508882020649,1.0,1.0
6.5834587570419885,1.0,1.0
6.603408632063328,1.0,1.0
6.623358507084667,1.0,1.0
6.643308382106007,1.0,1.0
6.663258257127346,1.0,1.0
6.683208132148685,1.0,1.0
6.703158007170025,1.0,1.0
6.723107882191364,1.0,1.0
6.7430577572127035,1.0,1.0
6.763007632234043,1.0,1.0
6.782957507255382,1.0,1.0
6.802907382276722,1.0,1.0
6.822857257298061,1.0,1.0
6.8428071323194,1.0,1.0
6.86275700734074,1.0,1.0
6.882706882362079,1.0,1.0
6.9026567573834186,1.0,1.0
6.922606632404758,1.0,1.0
6.942556507426097,1.0,1.0
6.962506382447437,1.0,1.0
6.982456257468776,1.0,1.0
7.0024061324901155,1.0,1.0
7.022356007511455,1.0,1.0
7.042305882532794,1.0,1.0
7.062255757554134,1.0,1.0
7.082205632575473,1.0,1.0
7.102155507596812,1.0,1.0
7.122105382618152,1.0,1.0
7.142055257639491,1.0,1.0
7.1620051326608305,1.0,1.0
7.18195500768217,1.0,1.0
7.201904882703509,1.0,1.0
7.221854757724849,1.0,1.0
7.241804632746187,1.0,1.0
7.2617545077675265,1.0,1.0
7.281704382788866,1.0,1.0
7.301654257810205,1.0,1.0
7.321604132831545,1.0,1.0
7.341554007852884,1.0,1.0
7.361503882874223,1.0,1.0
7.381453757895563,1.0,1.0
7.401403632916902,1.0,1.0
7.421353507938242,1.0,1.0
7.441303382959581,1.0,1.0
7.46125325798092,1.0,1.0
7.48120313300226,1.0,1.0
7.501153008023599,1.0,1.0
7.5211028830449385,1.0,1.0
7.541052758066278,1.0,1.0
7.561002633087617,1.0,1.0
7.580952508108957,1.0,1.0
7.600902383130296,1.0,1.0
7.620852258151635,1.0,1.0
7.640802133172975,1.0,1.0
7.660752008194314,1.0,1.0
7.6807018832156535,1.0,1.0
7.700651758236993,1.0,1.0
7.720601633258332,1.0,1.0
7.740551508279672,1.0,1.0
7.760501383301011,1.0,1.0
7.78045125832235,1.0,1.0
7.80040113334369,1.0,1.0
7.820351008365029,1.0,1.0
7.8403008833863685,1.0,1.0
7.860250758407708,1.0,0.0
7.880200633429047,1.0,0.0
7.900150508450387,1.0,0.0
7.920100383471726,1.0,0.0
7.9400502584930654,1.0,0.0
7.960000133514404,1.0,0.0
